"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/28 11:22:03 PM GMT+3","Женский","28","Высшее","Солнцево","Я работаю","Да","от 5 до 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","5","3","8","6","9","9",""
"2019/05/28 11:22:24 PM GMT+3","Женский","48","Высшее","Тропарево-Никулино","Фриланс","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","6","1","1","7","3","3","Атрибут ЗОЖ"
"2019/05/28 11:22:24 PM GMT+3","Мужской","61","Высшее","Хамовники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Ранее утреннее, спортивное","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","10","1","8","8","5","10","Здоровье"
"2019/05/28 11:32:20 PM GMT+3","Женский","36","Высшее","Тропарево-Никулино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Менее 2 километров","4","3","8","3","8","10","Возможность добавить в преимущественно сидячий образ жизни немного движения, плюс хорошо провести время)"
"2019/05/28 11:41:56 PM GMT+3","Женский","34","Высшее","Цао","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 2 до 5 километров","6","8","5","7","7","8","Средство передвижения, но не в москве:( "
"2019/05/29 12:21:16 AM GMT+3","Мужской","40","Высшее","Тропарево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Нет","Нет","Да, есть","Более 10 километров","8","3","9","4","7","8","Средство досуга"
"2019/05/29 12:21:26 AM GMT+3","Мужской","40","Высшее","Тропарево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Нет","Нет","Да, есть","Более 10 километров","8","3","9","4","7","8","Средство досуга"
"2019/05/29 12:33:10 AM GMT+3","Женский","52","Высшее, ученая степень","Филевский парк","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","6","1","1","1","10","10","степень свободы"
"2019/05/29 12:34:52 AM GMT+3","Женский","36","Высшее","Щукино","Я безработный","Нет","","","","","","Нет","Нет","Да, есть","От 5 до 10 километров","8","1","1","1","5","5","Мечта"
"2019/05/29 12:40:47 AM GMT+3","Женский","58","Высшее, ученая степень","Фили-Давыдково","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Шоппинг","Нет","Да","Нет","Нет","Более 10 километров","6","1","2","1","8","8","Возможность активно и с пользой проводить свой досуг"
"2019/05/29 1:11:15 AM GMT+3","Мужской","31","Высшее","Тропарево-Никулино ","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Да","Да","Нет","Нет","Менее 2 километров","2","6","8","4","9","9",""
"2019/05/29 1:13:23 AM GMT+3","Женский","42","Высшее","Филевский парк","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","Более 10 километров","6","3","8","5","2","5","Опасность от высокоскоростной езды в зонах отдыха, например в парках"
"2019/05/29 1:22:44 AM GMT+3","Женский","29","Высшее","Хорошевский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Менее 2 километров","8","8","7","5","1","1","развлечение"
"2019/05/29 1:30:53 AM GMT+3","Женский","30","Высшее","Тропарево-Никулино ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Тренировки","Нет","Да","Нет","Да, есть","Менее 2 километров","9","2","10","2","5","10","Средство для тренировок, которое позволяет избежать беговых травм (кросс-тренинг) "
"2019/05/29 3:01:30 AM GMT+3","Мужской","42","Высшее","Лефортово","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","10","1","1","1","1","1","Ничего"
"2019/05/29 6:20:41 AM GMT+3","Мужской","40","Высшее, ученая степень","Тропарево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","2","1","1","1","5","10","спорт. хобби. "
